win,diffr,diffc
0,-.02,-91.50928
1,.02,91.50928
0,.01,-309.513
1,-.01,309.513
0,-.04,-63.26331
1,.04,63.26331
0,0,-519.3979
1,0,519.3979
0,0,-519.3979
1,0,519.3979
0,0,-278.7013
1,0,278.7013
0,0,-519.398
1,0,519.398
0,0,-519.398
1,0,519.398
0,-.007,-38.00473
1,.007,38.00473
0,-.01,-144.4179
1,.01,144.4179
0,-.007,-38.0047
1,.007,38.0047
0,-.01,-144.4179
1,.01,144.4179
0,-.007,-38.0047
1,.007,38.0047
0,0,-253.0875
1,0,253.0875
0,.014,-1159.077
1,-.014,1159.077
0,-.001,-907.1039
1,.001,907.1039
0,.014,-1814.208
1,-.014,1814.208
0,-.001,-743.3213
1,.001,743.3213
0,-.001,-1562.235
1,.001,1562.235
0,.014,-1159.077
1,-.014,1159.077
0,-.001,-1019.106
1,.001,1019.106
0,-.001,-907.1039
1,.001,907.1039
0,-.02,-292.2891
1,.02,292.2891
0,-.02,-456.0717
1,.02,456.0717
0,.025,-193.31
1,-.025,193.31
0,0,-128.6211
1,0,128.6211
0,0,-312.7259
1,0,312.7259
0,0,-312.7259
1,0,312.7259
0,-.025,-132.4042
1,.025,132.4042
0,-.025,-451.3835
1,.025,451.3835
0,-.025,-132.4042
1,.025,132.4042
0,0,-126.0992
1,0,126.0992
0,-.025,-69.35455
1,.025,69.35455
0,0,-126.0992
1,0,126.0992
0,-.025,-69.35455
1,.025,69.35455
0,0,-126.0992
1,0,126.0992
0,-.025,-308.5645
1,.025,308.5645
0,0,-310.2039
1,0,310.2039
0,.005,-247.1544
1,-.005,247.1544
0,0,-754.073
1,0,754.073
0,-.028,-327.7452
1,.028,327.7452
0,-.012,-93.28131
1,.012,93.28131
0,.004,-247.0695
1,-.004,247.0695
0,-.024,-234.4639
1,.024,234.4639
0,-.0025,-115.9714
1,.0025,115.9714
0,-.0025,-115.9713
1,.0025,115.9713
0,-.01,12.60558
1,.01,-12.60558
0,-.05,-749.6676
1,.05,749.6676
0,-.05,-474.0382
1,.05,474.0382
0,0,-603.1577
1,0,603.1577
0,-.025,-87.20996
1,.025,87.20996
0,0,-2338.715
1,0,2338.715
0,0,-2338.715
1,0,2338.715
0,0,-856.5359
1,0,856.5359
0,-.02,-23.59943
1,.02,23.59943
0,.005,-106.7566
1,-.005,106.7566
0,0,-1652.835
1,0,1652.835
0,-.05,-372.8628
1,.05,372.8628
0,0,-1145.086
1,0,1145.086
0,-.015,59.51364
1,.015,-59.51364
0,0,-869.5386
1,0,869.5386
0,-.02125,-277.7305
1,.02125,277.7305
0,-.025,-436.374
1,.025,436.374
0,-.01,-109.0935
1,.01,109.0935
0,-.0625,-741.7525
1,.0625,741.7525
0,0,-939.5532
1,0,939.5532
0,0,-479.6666
1,0,479.6666
0,-.02,-2095.118
1,.02,2095.118
0,0,-1848.743
1,0,1848.743
0,0,-1677.747
1,0,1677.747
0,-.04,22.30371
1,.04,-22.30371
0,0,-1556.719
1,0,1556.719
0,.125,-1665.708
1,-.125,1665.708
0,-.02,-2757.955
1,.02,2757.955
0,-.052,-66.35663
1,.052,66.35663
0,-.005,561.6107
1,.005,-561.6107
0,.005,-1130.941
1,-.005,1130.941
0,-.05,-9.89978
1,.05,9.89978
0,-.02,282.934
1,.02,-282.934
0,-.04,-244.821
1,.04,244.821
0,0,-190.4297
1,0,190.4297
0,.005,-144.6399
1,-.005,144.6399
0,-.04,-144.2682
1,.04,144.2682
0,-.0575,-919.4047
1,.0575,919.4047
0,0,-554.1364
1,0,554.1364
0,.02,-269.8614
1,-.02,269.8614
0,0,-705.427
1,0,705.427
0,0,-343.3618
1,0,343.3618
0,-.001,-58.8009
1,.001,58.8009
0,0,-193.3986
1,0,193.3986
0,.025,-671.7586
1,-.025,671.7586
0,0,-331.1823
1,0,331.1823
0,-.03,263.6047
1,.03,-263.6047
0,0,-199.019
1,0,199.019
0,.0175,-248.3706
1,-.0175,248.3706
