roy_dm,lncpad_dm,accbid
-.0191149,.2526708,1
-.0331149,.0061908,0
-.0220693,.08953,1
-.0360693,-.1569495,0
-.0163719,.5423365,1
-.0243719,.5502672,0
-.0161715,.5425024,1
-.0241715,.5504332,0
-.0233952,.5377264,1
-.0253952,.1704216,0
-.0223565,.5381923,1
-.0243565,.4954147,0
-.018094,.0953431,1
.001906,-.2280569,0
-.0350024,1.050817,1
.2032976,-.9773307,0
-.0379987,.0030065,1
-.0029987,-.2233186,0
.0054064,1.980273,1
.0204064,.226243,0
.1308778,-.6999149,1
-.0391222,-.5096884,0
.0818901,1.401707,1
.0218901,.5769835,0
-.001422,-.5336108,1
-.084722,-1.091931,0
.0189388,-.4298797,1
-.0460612,-.2953486,0
.0523458,-1.321754,1
-.0076542,.1171045,0
.124513,-.2468157,1
-.005487,.1645265,0
-.0429984,.676487,1
.0570016,-.0670528,0
.0190857,.4310894,1
-.0329143,.1276345,0
-.0388314,.8757882,1
-.0288314,.1018376,0
.0272008,.7784476,1
-.0227992,-.3543882,0
.0210945,.3390913,1
.0060945,.1207948,0
.0066852,.7988343,1
.0216852,.6125121,0
-.0117889,.9510689,1
-.0117889,.1679268,0
-.0455669,.0762153,1
-.0000669,-.9450383,0
-.0039598,-.582478,1
-.0789598,-.5319118,0
-.0028218,-.3195081,1
-.0528218,-.9937868,0
.0068571,.4325161,1
.0048571,-.1894188,0
-.0201661,-.4754534,1
-.0001661,-.593523,0
-.0211902,-.226419,1
-.0111902,-.344202,0
-.0432265,-.6174946,1
-.0507265,-1.428425,0
-.0186967,.0101833,1
-.0186967,-.1687703,0
-.0319492,-.2172542,1
-.0652492,-.9302039,0
.0343864,.1941037,1
.0343864,-2.098884,0
.0424731,.5444798,1
-.0075269,-.3752823,0
.0261945,1.031203,1
-.0188055,-.1217752,0
-.0048339,.1403966,1
-.0656339,-.9866529,0
.0150383,-.1054177,1
.0150383,-.5895205,0
.0174622,-.0343885,1
-.0075378,-.3192334,0
-.0476107,-1.410062,1
-.0684106,-1.038498,0
.0189538,-.6928124,1
-.0335462,-.9784317,0
-.0406128,-.853807,1
-.0406128,-1.03745,0
-.036713,1.32211,1
.078287,-.1819677,0
.0139688,.2127385,1
-.0110312,-.2711205,0
.0313495,-.0637431,1
.0063495,-.651792,0
-.0372898,-1.320773,1
-.0247898,-1.632553,0
-.0464596,-.9586568,1
-.0464596,-1.15661,0
.0480575,.3759294,1
.0180575,-.4472709,0
.0489222,2.165292,1
.0189222,1.449261,0
.049141,1.758545,1
.019141,.7142096,0
-.0165088,-.2995625,1
.0134912,-.4071541,0
-.0156387,-.203774,1
.0143613,-.4092927,0
.0229043,.1699028,1
-.0120957,-.4685106,0
.0109458,-1.063674,1
-.0573542,-.4507513,0
.0114193,.0196581,1
-.0085807,-.7038865,0
.0131738,.2609138,1
.0131738,.026998,0
.01204,.107276,1
.01204,.0275106,0
.0024197,1.00447,1
.0857197,.6654611,0
-.0094979,-.1121278,1
-.0244979,-.4487391,0
.020416,.1140056,1
-.004584,.0426965,0
-.0298366,.0710235,1
-.0423366,-.359364,0
.0255673,-.0469875,1
-.0014327,.0233378,0
.0157675,.2351165,1
-.0142325,-.374649,0
-.0085942,.1109653,1
-.0085942,-.1348062,0
-.0024726,.0959878,1
-.0399726,-.6927171,0
-.0303192,-.2497025,1
-.0428192,-.8328748,0
.0237114,.3479681,1
-.0262886,-.4790282,0
.0260984,.5108848,1
-.0139016,.6092205,0
.0587693,.9748793,1
.0137693,.7167511,0
.02925,.558928,1
.01925,.2124515,0
-.0044332,-.0919557,1
-.0044332,-1.178145,0
.0279508,.133707,1
.0029508,-.4801083,0
.0408405,1.594783,1
.0208405,.0948839,0
.066599,-.0451317,1
-.008401,.2716889,0
.001389,.3597336,1
.001389,.1221027,0
.0101148,2.037721,1
-.0168852,-.0420351,0
-.0062578,.465354,1
-.0062578,-.1999083,0
-.023156,-.1631594,1
.026844,-1.156411,0
-.0654115,-.9237518,1
-.1070782,-1.309414,0
-.0419028,-.9391837,1
-.0319028,-1.362998,0
-.0270305,-.0223584,1
-.0370305,-1.040114,0
-.0399127,-.9372063,1
-.0299127,-1.361021,0
-.001854,.1954479,1
-.001854,-1.127497,0
.0717215,1.164572,1
.0287215,.9169202,0
.0196602,.662364,1
.0296602,.4298444,0
-.0265475,-.6369386,1
-.0390475,-1.064754,0
-.029227,-.8862357,1
-.041727,-1.057331,0
.0395124,.9703445,1
-.0064876,.1356978,0
-.0237646,-.0502238,1
-.0162646,-.595355,0
-.0160619,-.6602049,1
-.0235619,-.7576685,0
-.0460712,-2.23185,1
-.0493712,-5.24247,0
.0447293,1.049477,1
-.0012707,.2148304,0
.0302994,.3577185,1
.0302994,.4065084,0
.0308008,.3974805,1
.0238008,.0904803,0
.0143464,.3429093,1
.0393464,.1240301,0
-.0238767,-.1875067,1
-.0113767,-1.687382,0
.0367862,.6495285,1
.0367862,-.0680351,0
.0837303,2.282283,1
.0337303,1.71211,0
.0268165,-.0365934,1
-.0181835,-.7396913,0
.0089285,2.452115,1
.1489285,.4342756,0
.005475,2.516673,1
.095475,.7996073,0
-.0152244,.4515676,1
-.0152244,.309762,0
.040536,.4742212,1
.000536,-.3745742,0
-.0162978,-.2355928,1
-.0362978,-.1989236,0
-.0294611,-.3741093,1
-.0324611,-.6298685,0
.0029795,.5605421,1
.0129794,.1550713,0
-.0148045,.0379539,1
-.0248045,-.1548524,0
-.0274538,-.5160055,1
-.0399538,-.8826308,0
.0525263,.8306508,1
.0225263,-.0031185,0
.0370423,.6479497,1
