78,506.85,9445.8,18.636,0.42917,1,0.57999,1997.6,0.3411
79,241.96,5579.4,23.06,0.31595,1,0.29719,753.4,0.052338
80,131.15,2529,19.284,0.41907,1,0.23862,526.79,0.32712
81,587.97,8156.3,13.872,0.60485,1,0.66892,3383.4,0.81312
82,601.47,8806.6,14.642,0.56641,1,0.67248,3216.2,0.71445
83,253.05,2660,10.512,0.84246,1,0.6564,2018.8,1.4844
84,87.855,1225.5,13.949,0.6243,1,0.40376,442.28,0.79657
85,261.71,4839.2,18.491,0.43151,1,0.47201,906.23,0.30723
86,197.4,4068,20.608,0.30971,1,0.35799,459.44,-0.016903
87,198.31,3064.9,15.455,0.57976,1,0.50235,957.59,0.68104
88,122.2,2073.2,16.966,0.4636,1,0.39503,436.6,0.38841
89,242.38,4276.6,17.644,0.47014,1,0.47028,921.86,0.40486
90,153.07,2878.4,18.805,0.37986,1,0.36905,441.05,0.17392
91,309.64,4179,13.496,0.6857,1,0.59608,1837.9,0.96348
92,141.74,2582.6,18.221,0.40513,1,0.37261,437.44,0.23968
93,319.98,4268.9,13.341,0.6942,1,0.61592,1929.9,0.98758
94,132.57,2322.2,17.517,0.43724,1,0.38176,444.25,0.3218
95,329.59,4656.1,14.127,0.65118,1,0.59212,1832.1,0.86829
96,138.57,2503.5,18.067,0.41202,1,0.37774,435.47,0.25741
97,187.08,3118.6,16.67,0.51736,1,0.45494,791.97,0.5233
98,160.88,3106.7,19.31,0.35902,1,0.36391,436.75,0.11869
99,189.78,3202,16.872,0.50731,1,0.46971,785.76,0.4981
100,120.25,2023.6,16.828,0.47037,1,0.37722,436.57,0.40544
101,152.62,2198.6,14.406,0.63598,1,0.51076,823.88,0.82752
102,100.3,1508.3,15.038,0.56362,1,0.41237,447,0.63992
103,139.24,1533.3,11.012,0.818,1,0.59954,1059.2,1.3875
104,71.612,829.32,11.581,0.75946,1,0.47726,465.38,1.1843
105,139.04,1561,11.226,0.80717,1,0.58982,1036,1.3473
106,72.01,872.68,12.119,0.72905,1,0.43847,442.2,1.0897
107,245.26,1958.5,7.9856,0.94266,1,0.71447,2453,2.0573
108,74.73,930.16,12.447,0.71029,1,0.45662,443.12,1.034
109,160.05,2116.7,13.225,0.70055,1,0.55455,976.85,1.0058
110,83.832,1137,13.563,0.64625,1,0.42701,440.37,0.85498
111,147.44,2141.2,14.523,0.62965,1,0.49881,786.19,0.81071
112,91.25,1312,14.378,0.60013,1,0.41672,437.96,0.73346
113,913.8,10819,11.839,0.70909,1,0.73531,6345.2,1.0968
114,724.31,10448,14.424,0.57499,1,0.68456,3937.9,0.73518
115,1043.7,14458,13.852,0.6038,1,0.71822,5994.2,0.80927
116,762.29,11829,15.518,0.52202,1,0.66451,3728.8,0.60132
117,320.99,11278,35.136,0.14364,1,0.47337,813.51,-0.32135
118,732.74,51246,69.938,0.02791,1,0.3521,491.69,-1.1697
119,246.17,4091.3,16.62,0.50861,1,0.65642,2162.2,0.81117
120,273.98,18367,67.038,0.048156,1,0.34203,363,-0.87342
121,535.63,15968,29.812,0.18792,1,0.50787,1288.4,-0.25679
122,545.79,20874,38.246,0.11523,1,0.40151,888.35,-0.57037
123,1619.5,26203,16.18,0.57493,1,0.73194,12006,0.81775
124,766.92,30662,39.98,0.10571,1,0.44544,1169.7,-0.62087
125,652.05,19740,30.273,0.19548,1,0.53179,1680.1,-0.22907
126,802.5,28259,35.214,0.13604,1,0.49728,1488.3,-0.46948
127,217.97,3146,14.434,0.64259,1,0.59042,1438.7,0.90907
128,269.06,5418.2,20.137,0.44052,1,0.5299,1240.2,0.39403
129,677.68,14014,20.679,0.40202,1,0.65481,3321.1,0.36731
130,549.08,14861,27.066,0.24653,1,0.5404,1694.3,-0.070033
131,654.14,13685,20.92,0.39476,1,0.61138,3149.7,0.34848
