win,dcn,drn,diffc,diffr,lndiffc,index,n,cash,roy,oroy,ocash
1,.704,.926,50.36484,.0625,.3810371,.264,156,158.9561,.1875,.125,108.5913
0,.162,.064,-85.25163,-.0625,-.7685645,.264,157,73.70449,.125,.1875,158.9561
1,.836,.926,85.25163,.0625,.7685645,.264,157,158.9561,.1875,.125,73.70449
0,.208,.294,-221.1135,-.015,-.597837,.8,158,270.2498,.21,.225,491.3633
1,.792,.698,221.1135,.015,.597837,.8,158,491.3633,.225,.21,270.2498
0,.368,.176,-255.5089,-.035,-.2311117,.652,159,982.7265,.225,.26,1238.235
1,.632,.82,255.5089,.035,.2311117,.652,159,1238.235,.26,.225,982.7265
0,.456,.094,-106.1344,-.05,-.0896121,.652,160,1132.101,.21,.26,1238.235
1,.544,.88,106.1344,.05,.0896121,.652,160,1238.235,.26,.21,1132.101
0,.446,.252,-119.0082,-.0225,-.1010488,.652,161,1119.227,.2375,.26,1238.235
1,.554,.748,119.0082,.0225,.1010488,.652,161,1238.235,.26,.2375,1119.227
0,.236,.418,-125.2976,0,-.5242487,.292,162,181.8044,.2,.2,307.102
1,.762,.418,125.2976,0,.5242487,.292,162,307.102,.2,.2,181.8044
0,.208,.842,-502.4064,.04,-.5977258,.46,163,614.204,.25,.21,1116.61
1,.792,.146,502.4064,-.04,.5977258,.46,163,1116.61,.21,.25,614.204
0,.172,.078,-525.7588,-.06,-.7123787,.16,164,506.1041,.2,.26,1031.863
1,.828,.92,525.7588,.06,.7123787,.16,164,1031.863,.26,.2,506.1041
0,.7,.038,115.4704,-.0833,.3699202,.184,165,373.4361,.1667,.25,257.9657
1,.3,.952,-115.4704,.0833,-.3699202,.184,165,257.9657,.25,.1667,373.4361
0,.172,.094,-520.6154,-.05,-.7104476,.45,166,503.0577,.21,.26,1023.673
1,.826,.88,520.6154,.05,.7104476,.45,166,1023.673,.26,.21,503.0577
0,.604,.294,186.0434,-.015,.1876692,.78,167,1087.266,.22,.235,901.2231
1,.394,.698,-186.0434,.015,-.1876692,.78,167,901.2231,.235,.22,1087.266
0,.54,.336,329.915,-.01,.0810269,.216,168,4238.855,.225,.235,3908.94
1,.458,.654,-329.915,.01,-.0810269,.216,168,3908.94,.235,.225,4238.855
0,.096,.666,-642.8091,.012,-1.098567,.42,169,321.4263,.212,.2,964.2354
1,.904,.33,642.8091,-.012,1.098567,.42,169,964.2354,.2,.212,321.4263
0,.106,.418,-940.1293,0,-1.049822,.542,170,506.2236,.25,.25,1446.353
1,.894,.418,940.1293,0,1.049822,.542,170,1446.353,.25,.25,506.2236
0,.006,.064,-1369.017,-.0625,-2.928646,.542,171,77.33561,.1875,.25,1446.353
1,.994,.926,1369.017,.0625,2.928646,.542,171,1446.353,.25,.1875,77.33557
0,.006,.064,-1368.031,-.0625,-2.915969,.694,172,78.32221,.1875,.25,1446.353
1,.992,.926,1368.031,.0625,2.915969,.694,172,1446.353,.25,.1875,78.32227
0,.044,.418,-1904.365,0,-1.560648,.492,173,506.2236,.25,.25,2410.588
1,.956,.418,1904.365,0,1.560648,.492,173,2410.588,.25,.25,506.2236
0,.044,.064,-1900.508,-.0625,-1.553058,.492,174,510.0805,.1875,.25,2410.588
1,.954,.926,1900.508,.0625,1.553058,.492,174,2410.588,.25,.1875,510.0806
0,.044,.636,-3656.992,.01,-1.556756,.768,175,976.915,.21,.2,4633.907
1,.956,.346,3656.992,-.01,1.556756,.768,175,4633.907,.2,.21,976.915
0,.098,.346,-754.925,-.01,-1.082673,.894,176,386.6332,.2,.21,1141.558
1,.902,.636,754.925,.01,1.082673,.894,176,1141.558,.21,.2,386.6332
0,.2,.378,-275.6238,-.005,-.6161861,.384,177,323.5584,.21,.215,599.1823
1,.8,.62,275.6238,.005,.6161861,.384,177,599.1823,.215,.21,323.5584
0,.486,.378,-19.71545,-.005,-.0175067,.734,178,1116.334,.225,.23,1136.05
1,.514,.62,19.71545,.005,.0175067,.734,178,1136.05,.23,.225,1116.334
0,.38,.38,-147.3029,-.005,-.2047149,.746,179,648.4111,.22,.225,795.714
1,.62,.604,147.3029,.005,.2047149,.746,179,795.714,.225,.22,648.4111
0,.38,.38,-147.3029,-.005,-.2047149,.744,180,648.4111,.22,.225,795.714
1,.62,.604,147.3029,.005,.2047149,.744,180,795.714,.225,.22,648.4111
0,.02,.014,-6688.559,-.135,-2.04165,.846,181,997.7991,.211,.346,7686.358
1,.978,.986,6688.559,.135,2.04165,.846,181,7686.358,.346,.211,997.7993
0,.016,.01,-7403.017,-.14,-2.134984,.87,182,992.7731,.211,.351,8395.79
1,.982,.988,7403.017,.14,2.134984,.87,182,8395.79,.351,.211,992.7729
0,.088,.054,-5145.825,-.074,-1.142379,.824,183,2411.109,.265,.339,7556.935
1,.912,.944,5145.825,.074,1.142379,.824,183,7556.935,.339,.265,2411.109
0,.022,.016,-6564.162,-.128,-2.029719,.824,184,992.7731,.211,.339,7556.935
1,.978,.984,6564.162,.128,2.029719,.824,184,7556.935,.339,.211,992.7729
0,.132,.086,-1418.336,-.054,-.8873399,.898,185,992.7733,.211,.265,2411.109
1,.866,.912,1418.336,.054,.8873399,.898,185,2411.109,.265,.211,992.7732
0,.086,.978,-1658.776,.11,-1.164663,.898,186,752.3334,.375,.265,2411.109
1,.914,.022,1658.776,-.11,1.164663,.898,186,2411.109,.265,.375,752.3334
0,.132,.086,-1418.336,-.054,-.8873401,.88,187,992.7731,.211,.265,2411.109
1,.868,.912,1418.336,.054,.8873401,.88,187,2411.109,.265,.211,992.7732
0,.356,.304,-277.4933,-.014,-.2464798,.888,188,992.7731,.211,.225,1270.266
1,.644,.692,277.4933,.014,.2464798,.888,188,1270.266,.225,.211,992.7731
0,.356,.304,-277.4932,-.014,-.2464797,.956,189,992.7731,.211,.225,1270.266
1,.642,.692,277.4932,.014,.2464797,.956,189,1270.266,.225,.211,992.7731
0,.506,.366,10.11426,-.008,.0079308,.6,190,1280.381,.217,.225,1270.266
1,.494,.632,-10.11426,.008,-.0079308,.6,190,1270.266,.225,.217,1280.381
0,.506,.366,10.11426,-.008,.0079308,.598,191,1280.381,.217,.225,1270.266
1,.494,.632,-10.11426,.008,-.0079308,.598,191,1270.266,.225,.217,1280.381
0,.234,.992,-528.0474,.158,-.5317333,.644,192,752.3333,.375,.217,1280.381
1,.766,.008,528.0474,-.158,.5317333,.644,192,1280.381,.217,.375,752.3333
0,.262,.406,-481.4709,-.002,-.4716648,.644,193,798.9097,.215,.217,1280.381
1,.736,.592,481.4709,.002,.4716648,.644,193,1280.381,.217,.215,798.9097
0,.3,.406,-393.5909,-.002,-.3673048,.634,194,886.7897,.215,.217,1280.381
1,.7,.592,393.5909,.002,.3673048,.634,194,1280.381,.217,.215,886.7897
0,.474,.406,-53.61255,-.002,-.0427775,.63,195,1226.672,.215,.217,1280.285
1,.526,.592,53.61255,.002,.0427775,.63,195,1280.285,.217,.215,1226.672
0,.318,.712,-251.6566,.02,-.3234002,.742,196,659.1005,.25,.23,910.757
1,.682,.266,251.6566,-.02,.3234002,.742,196,910.757,.23,.25,659.1005
0,.482,.062,-13.80515,-.065,-.0278117,.626,197,489.5079,.46,.525,503.3131
1,.518,.936,13.80515,.065,.0278117,.626,197,503.3131,.525,.46,489.5079
0,.88,.02,776.5402,-.115,.9332883,.626,198,1279.853,.41,.525,503.3131
1,.12,.978,-776.5402,.115,-.9332883,.626,198,503.3131,.525,.41,1279.853
0,.482,.018,-13.80515,-.1233,-.0278117,.614,199,489.5079,.46,.5833,503.3131
1,.518,.982,13.80515,.1233,.0278117,.614,199,503.3131,.5833,.46,489.5079
0,.708,.004,239.6729,-.2083,.3894648,.614,200,742.986,.375,.5833,503.3131
1,.292,.996,-239.6729,.2083,-.3894648,.614,200,503.3131,.5833,.375,742.986
0,.022,.998,-1740.025,.2383,-2.028148,.528,201,263.6402,.4633,.225,2003.665
1,.978,.002,1740.025,-.2383,2.028148,.528,201,2003.665,.225,.4633,263.6403
0,.37,.82,-155.8346,.035,-.226325,.662,202,613.5626,.25,.215,769.3972
1,.63,.176,155.8346,-.035,.226325,.662,202,769.3972,.215,.25,613.5626
0,.034,.696,-4793.469,.015,-1.75403,.706,203,1003.271,.265,.25,5796.74
1,.966,.302,4793.469,-.015,1.75403,.706,203,5796.74,.25,.265,1003.271
0,.608,.006,105.4561,-.17,.1902267,.9,204,608.7692,.21,.38,503.3131
1,.392,.992,-105.4561,.17,-.1902267,.9,204,503.3131,.38,.21,608.7692
0,.146,.074,-1917.242,-.06,-.8247235,.76,205,1496.384,.27,.33,3413.625
1,.854,.922,1917.242,.06,.8247235,.76,205,3413.625,.33,.27,1496.384
0,.222,.038,-198.5883,-.0833,-.55832,.688,206,265.5868,.1667,.25,464.175
1,.776,.952,198.5883,.0833,.55832,.688,206,464.175,.25,.1667,265.5868
0,.444,.084,-93.55457,-.055,-.1016103,.858,207,874.7344,.21,.265,968.2889
1,.554,.914,93.55457,.055,.1016103,.858,207,968.2889,.265,.21,874.7344
0,.032,.012,-804.5686,-.14,-1.777371,.858,208,163.7204,.125,.265,968.2889
1,.968,.988,804.5686,.14,1.777371,.858,208,968.2889,.265,.125,163.7203
0,.486,.026,-13.65137,-.0983,-.0141988,.858,209,954.6376,.1667,.265,968.2889
1,.512,.972,13.65137,.0983,.0141988,.858,209,968.2889,.265,.1667,954.6376
0,.2,.05,-444.3839,-.0775,-.61422,.858,210,523.9051,.1875,.265,968.2889
1,.8,.948,444.3839,.0775,.61422,.858,210,968.2889,.265,.1875,523.9051
0,.572,.06,84.1991,-.065,.134531,.816,211,668.9146,.21,.275,584.7155
1,.426,.938,-84.1991,.065,-.134531,.816,211,584.7155,.275,.21,668.9146
0,.944,.074,767.1936,-.06,1.438859,.81,212,1005.758,.25,.31,238.5639
1,.056,.922,-767.1936,.06,-1.438859,.81,212,238.5639,.31,.25,1005.758
0,.716,.016,339.1818,-.13,.4113425,.772,213,1005.757,.25,.38,666.5757
1,.284,.984,-339.1818,.13,-.4113425,.772,213,666.5757,.38,.25,1005.757
0,.104,.31,-191.4724,-.0125,-1.063994,.676,214,100.8853,.1875,.2,292.3578
1,.896,.672,191.4724,.0125,1.063994,.676,214,292.3578,.2,.1875,100.8853
0,.108,.188,-189.4478,-.0333,-1.044124,.676,215,102.9099,.1667,.2,292.3578
1,.892,.81,189.4478,.0333,1.044124,.676,215,292.3578,.2,.1667,102.9099
0,.164,.974,-527.5677,.1,-.7435399,.252,216,478.143,.32,.22,1005.711
1,.836,.026,527.5677,-.1,.7435399,.252,216,1005.711,.22,.32,478.143
0,.326,.09,-337.5966,-.052,-.303455,.756,217,952.2354,.22,.272,1289.832
1,.674,.91,337.5966,.052,.303455,.756,217,1289.832,.272,.22,952.2354
0,.162,.654,-901.4185,.01,-.7739506,.522,218,771.554,.22,.21,1672.972
1,.838,.336,901.4185,-.01,.7739506,.522,218,1672.972,.21,.22,771.554
0,.226,.418,-417.4365,0,-.5444019,.838,219,576.9066,.21,.21,994.3431
1,.772,.418,417.4365,0,.5444019,.838,219,994.3431,.21,.21,576.9066
0,.33,.654,-255.6271,.01,-.2971688,.838,220,738.7159,.22,.21,994.3431
1,.67,.336,255.6271,-.01,.2971688,.838,220,994.3431,.21,.22,738.7159
0,.03,.094,-2349.141,-.05,-1.787641,.896,221,472.157,.2,.25,2821.298
1,.97,.88,2349.141,.05,1.787641,.896,221,2821.298,.25,.2,472.157
0,.132,.192,-1660.535,-.0313,-.8881199,.896,222,1160.762,.2187,.25,2821.298
1,.868,.808,1660.535,.0313,.8881199,.896,222,2821.298,.25,.2187,1160.762
0,.088,.094,-1592.454,-.05,-1.132836,.928,223,756.7084,.21,.26,2349.162
1,.91,.88,1592.454,.05,1.132836,.928,223,2349.162,.26,.21,756.7085
0,.374,.294,-255.644,-.015,-.2182966,.84,224,1047.911,.23,.245,1303.555
1,.626,.698,255.644,.015,.2182966,.84,224,1303.555,.245,.23,1047.911
0,.192,.418,-839.2825,0,-.6426073,.834,225,931.0547,.23,.23,1770.337
1,.808,.418,839.2825,0,.6426073,.834,225,1770.337,.23,.23,931.0547
0,.378,.712,-336.7736,.02,-.2110066,.834,226,1433.564,.25,.23,1770.337
1,.622,.266,336.7736,-.02,.2110066,.834,226,1770.337,.23,.25,1433.564
0,.058,.418,-2616.822,0,-1.429544,.854,227,823.7302,.23,.23,3440.552
1,.94,.418,2616.822,0,1.429544,.854,227,3440.552,.23,.23,823.7302
0,.134,.712,-2006.989,.02,-.8754687,.854,228,1433.564,.25,.23,3440.552
1,.864,.266,2006.989,-.02,.8754687,.854,228,3440.552,.23,.25,1433.564
0,.396,.696,-515.4458,.015,-.186322,.978,229,2516.7,.265,.25,3032.146
1,.602,.302,515.4458,-.015,.186322,.978,229,3032.146,.25,.265,2516.7
0,.16,.418,-1230.726,0,-.7831422,.786,230,1035.67,.25,.25,2266.396
1,.838,.418,1230.726,0,.7831422,.786,230,2266.396,.25,.25,1035.67
0,.11,.87,-488.4475,.0455,-1.021254,.538,231,274.9224,.2455,.2,763.3699
1,.89,.13,488.4475,-.0455,1.021254,.538,231,763.3699,.2,.2455,274.9224
0,.528,.052,34.98682,-.075,.0505663,.964,232,709.5405,.175,.25,674.5537
1,.472,.946,-34.98682,.075,-.0505663,.964,232,674.5537,.25,.175,709.5405
0,.184,.094,-463.1935,-.05,-.6742786,.974,233,481.1816,.2,.25,944.3751
1,.814,.88,463.1935,.05,.6742786,.974,233,944.3751,.25,.2,481.1816
0,.198,.406,-867.6133,-.002,-.6219346,.97,234,1005.896,.25,.252,1873.509
1,.802,.594,867.6133,.002,.6219346,.97,234,1873.509,.252,.25,1005.896
0,.042,.418,-1041.551,0,-1.566878,.984,235,274.6947,.25,.25,1316.246
1,.958,.418,1041.551,0,1.566878,.984,235,1316.246,.25,.25,274.6947
0,.086,.038,-904.2035,-.0833,-1.161413,.984,236,412.0421,.1667,.25,1316.246
1,.912,.952,904.2035,.0833,1.161413,.984,236,1316.246,.25,.1667,412.0421
0,.042,.094,-1041.551,-.05,-1.566878,.984,237,274.6947,.2,.25,1316.246
1,.958,.88,1041.551,.05,1.566878,.984,237,1316.246,.25,.2,274.6947
0,.434,.712,-64.50751,.02,-.1180696,.844,238,514.7321,.22,.2,579.2396
1,.564,.266,64.50751,-.02,.1180696,.844,238,579.2396,.2,.22,514.7321
0,.436,.654,-121.3235,.01,-.117783,.98,239,970.588,.22,.21,1091.911
1,.564,.336,121.3235,-.01,.117783,.98,239,1091.911,.21,.22,970.588
0,.028,.982,-9619.186,.1166667,-1.833007,.802,240,1831.298,.45,.3333333,11450.48
1,.972,.018,9619.186,-.1166667,1.833007,.802,240,11450.48,.3333333,.45,1831.298
0,.08,.032,-8016.8,-.0833333,-1.204398,.802,241,3433.684,.25,.3333333,11450.48
1,.92,.966,8016.8,.0833333,1.204398,.802,241,11450.48,.3333333,.25,3433.684
0,.15,.368,-230.8784,-.0075,-.8109303,.666,242,184.7027,.18,.1875,415.5811
1,.848,.63,230.8784,.0075,.8109303,.666,242,415.5811,.1875,.18,184.7027
0,.402,.418,-115.7618,0,-.1789539,.524,243,590.7255,.2,.2,706.4873
1,.596,.418,115.7618,0,.1789539,.524,243,706.4873,.2,.2,590.7255
0,.172,.188,-349.5604,-.0333,-.7129498,.768,244,336.1158,.1667,.2,685.6763
1,.828,.81,349.5604,.0333,.7129498,.768,244,685.6763,.2,.1667,336.1158
0,.012,.418,-538.8879,0,-2.292988,.22,245,60.5187,.25,.25,599.4066
1,.988,.418,538.8879,0,2.292988,.22,245,599.4066,.25,.25,60.51868
0,.122,.094,-1153.519,-.05,-.919762,.944,246,764.5818,.21,.26,1918.101
1,.876,.88,1153.519,.05,.919762,.944,246,1918.101,.26,.21,764.5818
0,.088,.13,-1709.709,-.045,-1.152978,.808,247,788.7518,.2,.245,2498.461
1,.912,.864,1709.709,.045,1.152978,.808,247,2498.461,.245,.2,788.7518
0,.09,.074,-508.7363,-.0608,-1.127049,.458,248,243.8186,.1667,.2275,752.5548
1,.908,.926,508.7363,.0608,1.127049,.458,248,752.5548,.2275,.1667,243.8185
0,.218,.308,-985.3656,-.013,-.5689784,.856,249,1285.603,.25,.263,2270.969
1,.782,.69,985.3656,.013,.5689784,.856,249,2270.969,.263,.25,1285.603
0,.466,.308,-129.8003,-.013,-.0588548,.856,250,2141.169,.25,.263,2270.969
1,.534,.69,129.8003,.013,.0588548,.856,250,2270.969,.263,.25,2141.169
0,.26,.418,-353.847,0,-.4841025,.904,251,568.2299,.25,.25,922.0768
1,.74,.418,353.847,0,.4841025,.904,251,922.0768,.25,.25,568.2299
0,.338,.22,-166.1448,-.025,-.2848446,.514,252,504.1483,.225,.25,670.2931
1,.66,.754,166.1448,.025,.2848446,.514,252,670.2931,.25,.225,504.1483
0,.702,.254,118.6748,-.0208,.3715635,.932,253,382.3967,.1667,.1875,263.7219
1,.298,.742,-118.6748,.0208,-.3715635,.932,253,263.7219,.1875,.1667,382.3967
0,.338,.088,-85.59024,-.0525,-.285619,.502,254,258.9051,.1975,.25,344.4953
1,.662,.91,85.59024,.0525,.285619,.502,254,344.4953,.25,.1975,258.9051
0,.398,.418,-44.61255,0,-.1836429,.408,255,221.307,.1875,.1875,265.9196
1,.602,.418,44.61255,0,.1836429,.408,255,265.9196,.1875,.1875,221.307
0,.038,.22,-7461.132,-.025,-1.64203,.89,256,1791.111,.275,.3,9252.243
1,.962,.754,7461.132,.025,1.64203,.89,256,9252.243,.3,.275,1791.111
0,.056,.22,-7050.165,-.025,-1.435465,.89,257,2202.078,.275,.3,9252.243
1,.942,.754,7050.165,.025,1.435465,.89,257,9252.243,.3,.275,2202.078
0,.05,.98,-3076.755,.115,-1.504077,.916,258,879.073,.315,.2,3955.828
1,.95,.02,3076.755,-.115,1.504077,.916,258,3955.828,.2,.315,879.073
0,.26,.22,-549.8027,-.025,-.4838591,.952,259,883.4683,.225,.25,1433.271
1,.74,.754,549.8027,.025,.4838591,.952,259,1433.271,.25,.225,883.4683
0,.49,.346,-26.37231,-.01,-.0116281,.436,260,2254.822,.23,.24,2281.194
1,.51,.636,26.37231,.01,.0116281,.436,260,2281.194,.24,.23,2254.822
0,.398,.346,-381.5615,-.01,-.1830385,.436,261,1899.633,.23,.24,2281.194
1,.6,.636,381.5615,.01,.1830385,.436,261,2281.194,.24,.23,1899.633
0,.21,.22,-298.0058,-.025,-.5880489,.55,262,372.2875,.225,.25,670.2933
1,.79,.754,298.0058,.025,.5880489,.55,262,670.2933,.25,.225,372.2875
0,.322,.672,-49.4478,.0125,-.3117792,.508,263,135.1575,.2,.1875,184.6053
1,.678,.31,49.4478,-.0125,.3117792,.508,263,184.6053,.1875,.2,135.1575
0,.384,.418,-46.45691,0,-.1979529,.484,264,212.224,.1875,.1875,258.6809
1,.616,.418,46.45691,0,.1979529,.484,264,258.6809,.1875,.1875,212.224
0,.146,.192,-971.3715,-.03,-.8232002,.962,265,760.2039,.25,.28,1731.575
1,.852,.788,971.3715,.03,.8232002,.962,265,1731.575,.28,.25,760.2039
0,.17,.192,-4772.391,-.03,-.7160315,.924,266,4561.223,.25,.28,9333.614
1,.83,.788,4772.391,.03,.7160315,.924,266,9333.614,.28,.25,4561.223
0,.106,.192,-4121.994,-.03,-1.044335,.936,267,2238.378,.25,.28,6360.372
1,.892,.788,4121.994,.03,1.044335,.936,267,6360.372,.28,.25,2238.378
0,.528,.346,741.9023,-.01,.0533068,.982,268,14291.83,.28,.29,13549.93
1,.47,.636,-741.9023,.01,-.0533068,.982,268,13549.93,.29,.28,14291.83
0,.13,.346,-8017.335,-.01,-.8957244,.982,269,5532.595,.28,.29,13549.93
1,.87,.636,8017.335,.01,.8957244,.982,269,13549.93,.29,.28,5532.595
0,.026,.062,-11522.72,-.065,-1.899721,.982,270,2027.21,.225,.29,13549.93
1,.974,.938,11522.72,.065,1.899721,.982,270,13549.93,.29,.225,2027.21
0,.056,.604,-6519.986,.005,-1.455043,.99,271,1984.977,.28,.275,8504.963
1,.944,.38,6519.986,-.005,1.455043,.99,271,8504.963,.275,.28,1984.977
0,.012,.604,-7634.952,.005,-2.279899,.99,272,870.011,.28,.275,8504.963
1,.986,.38,7634.952,-.005,2.279899,.99,272,8504.963,.275,.28,870.0112
0,.046,.09,-6698.095,-.05,-1.549055,.99,273,1806.868,.225,.275,8504.963
1,.954,.906,6698.095,.05,1.549055,.99,273,8504.963,.275,.225,1806.868
0,.104,.418,-1389.612,0,-1.061595,.958,274,734.8637,.25,.25,2124.475
1,.896,.418,1389.612,0,1.061595,.958,274,2124.475,.25,.25,734.8638
0,.13,.788,-1254.464,.03,-.8927742,.958,275,870.011,.28,.25,2124.475
1,.868,.192,1254.464,-.03,.8927742,.958,275,2124.475,.25,.28,870.011
0,.44,.788,-77.47858,.03,-.1075917,.906,276,682.0718,.25,.22,759.5504
1,.56,.192,77.47858,-.03,.1075917,.906,276,759.5504,.22,.25,682.0718
0,.378,.788,-155.6231,.03,-.2055191,.908,277,682.0717,.25,.22,837.6948
1,.62,.192,155.6231,-.03,.2055191,.908,277,837.6948,.22,.25,682.0717
0,.194,.176,-660.3558,-.035,-.6384138,.96,278,739.087,.225,.26,1399.443
1,.806,.82,660.3558,.035,.6384138,.96,278,1399.443,.26,.225,739.087
0,.798,.058,196.4705,-.0683,.6129227,.482,279,428.755,.1667,.235,232.2845
1,.202,.94,-196.4705,.0683,-.6129227,.482,279,232.2845,.235,.1667,428.755
0,.166,.266,-359.4025,-.02,-.7235447,.494,280,338.507,.23,.25,697.9095
1,.832,.712,359.4025,.02,.7235447,.494,280,697.9095,.25,.23,338.507
0,.556,.418,115.0088,0,.1040369,.97,281,1163.963,.25,.25,1048.954
1,.442,.418,-115.0088,0,-.1040369,.97,281,1048.954,.25,.25,1163.963
0,.53,.294,58.50732,-.015,.0542768,.97,282,1107.461,.235,.25,1048.954
1,.47,.698,-58.50732,.015,-.0542768,.97,282,1048.954,.25,.235,1107.461
0,.364,.418,-305.0742,0,-.2339157,.948,283,1157.61,.25,.25,1462.684
1,.636,.418,305.0742,0,.2339157,.948,283,1462.684,.25,.25,1157.61
0,.46,.418,-96.11926,0,-.079765,.946,284,1157.61,.25,.25,1253.73
1,.54,.418,96.11926,0,.079765,.946,284,1253.73,.25,.25,1157.61
0,.304,.594,-735.5212,.0025,-.3571626,.992,285,1713.43,.2525,.25,2448.952
1,.694,.402,735.5212,-.0025,.3571626,.992,285,2448.952,.25,.2525,1713.43
0,.036,.418,-1978.781,0,-1.65032,.992,286,470.1706,.25,.25,2448.952
1,.964,.418,1978.781,0,1.65032,.992,286,2448.952,.25,.25,470.1707
0,.068,.336,-1801.529,-.01,-1.330416,.992,287,647.4224,.24,.25,2448.952
1,.932,.654,1801.529,.01,1.330416,.992,287,2448.952,.25,.24,647.4224
0,.304,.594,-735.5212,.0025,-.3571626,.988,288,1713.43,.2525,.25,2448.952
1,.694,.402,735.5212,-.0025,.3571626,.988,288,2448.952,.25,.2525,1713.43
0,.126,.906,-1466.206,.05,-.9130652,.988,289,982.7454,.3,.25,2448.952
1,.872,.09,1466.206,-.05,.9130652,.988,289,2448.952,.25,.3,982.7454
0,.036,.418,-1978.781,0,-1.65032,.988,290,470.1707,.25,.25,2448.952
1,.962,.418,1978.781,0,1.65032,.988,290,2448.952,.25,.25,470.1707
0,.098,.418,-1619.108,0,-1.082178,.988,291,829.8434,.25,.25,2448.952
1,.9,.418,1619.108,0,1.082178,.988,291,2448.952,.25,.25,829.8435
0,.322,.22,-651.5851,-.025,-.3093375,.988,292,1797.367,.225,.25,2448.952
1,.676,.754,651.5851,.025,.3093375,.988,292,2448.952,.25,.225,1797.367
0,.426,.258,-376.1189,-.02,-.1376214,.976,293,2549.25,.25,.27,2925.369
1,.574,.734,376.1189,.02,.1376214,.976,293,2925.369,.27,.25,2549.25
0,.24,.258,-1183.604,-.02,-.5185219,.976,294,1741.765,.25,.27,2925.369
1,.758,.734,1183.604,.02,.5185219,.976,294,2925.369,.27,.25,1741.765
0,.31,.952,-832.0344,.0833,-.3390093,.918,295,2061.755,.3333,.25,2893.79
1,.69,.038,832.0344,-.0833,.3390093,.918,295,2893.79,.25,.3333,2061.755
0,.07,.788,-2193.493,.03,-1.265902,.956,296,861.447,.26,.23,3054.94
1,.93,.212,2193.493,-.03,1.265902,.956,296,3054.94,.23,.26,861.447
0,.1,.378,-2014.896,-.005,-1.077498,.956,297,1040.043,.225,.23,3054.94
1,.898,.62,2014.896,.005,1.077498,.956,297,3054.94,.23,.225,1040.043
0,.282,.672,-108.339,.0125,-.4128027,.934,298,211.9943,.2,.1875,320.3333
1,.718,.31,108.339,-.0125,.4128027,.934,298,320.3333,.1875,.2,211.9943
0,.312,.672,-91.52379,.0125,-.3364722,.934,299,228.8095,.2,.1875,320.3333
1,.688,.31,91.52379,-.0125,.3364722,.934,299,320.3333,.1875,.2,228.8095
0,.066,.864,-3303.277,.045,-1.351519,.726,300,1153.666,.25,.205,4456.943
1,.934,.13,3303.277,-.045,1.351519,.726,300,4456.943,.205,.25,1153.666
0,.102,.874,-2938.961,.047,-1.077082,.726,301,1517.981,.252,.205,4456.943
1,.898,.126,2938.961,-.047,1.077082,.726,301,4456.943,.205,.252,1517.981
0,.31,.294,-187.9162,-.015,-.3366112,.588,302,469.5622,.21,.225,657.4785
1,.688,.698,187.9162,.015,.3366112,.588,302,657.4785,.225,.21,469.5622
0,.462,.22,-68.81512,-.025,-.071309,.81,303,931.0286,.225,.25,999.8437
1,.538,.754,68.81512,.025,.071309,.81,303,999.8437,.25,.225,931.0286
0,.418,.304,-779.4873,-.0149,-.1498562,.922,304,4821.554,.2376,.2525,5601.042
1,.582,.696,779.4873,.0149,.1498562,.922,304,5601.042,.2525,.2376,4821.554
0,.316,.126,-1549.043,-.0475,-.3237424,.922,305,4051.998,.205,.2525,5601.042
1,.684,.874,1549.043,.0475,.3237424,.922,305,5601.042,.2525,.205,4051.998
0,.168,.63,-2868.675,.0075,-.7177845,.922,306,2732.366,.26,.2525,5601.042
1,.832,.368,2868.675,-.0075,.7177845,.922,306,5601.042,.2525,.26,2732.366
0,.404,.094,-137.4022,-.05,-.1763034,.07,307,712.6673,.2,.25,850.0695
1,.594,.88,137.4022,.05,.1763034,.07,307,850.0695,.25,.2,712.6673
0,.332,.418,-214.5413,0,-.2908617,.07,308,635.5282,.25,.25,850.0695
1,.668,.418,214.5413,0,.2908617,.07,308,850.0695,.25,.25,635.5282
0,.272,.31,-222.3058,-.0125,-.4303878,.368,309,413.3202,.1875,.2,635.626
1,.726,.672,222.3058,.0125,.4303878,.368,309,635.626,.2,.1875,413.3202
0,.346,.19,-266.3577,-.032,-.2655496,.668,310,875.7515,.22,.252,1142.109
1,.654,.808,266.3577,.032,.2655496,.668,310,1142.109,.252,.22,875.7515
0,.286,.214,-384.4025,-.027,-.4103357,.668,311,757.7066,.225,.252,1142.109
1,.714,.782,384.4025,.027,.4103357,.668,311,1142.109,.252,.225,757.7066
0,.536,.214,51.45551,-.027,.0703254,.608,312,757.7067,.225,.252,706.2512
1,.462,.782,-51.45551,.027,-.0703254,.608,312,706.2512,.252,.225,757.7067
0,.204,.192,-474.6007,-.03,-.6097655,.732,313,565.001,.22,.25,1039.602
1,.796,.788,474.6007,.03,.6097655,.732,313,1039.602,.25,.22,565.001
0,.368,.38,-213.8932,-.005,-.2309561,.738,314,823.2871,.22,.225,1037.18
1,.632,.604,213.8932,.005,.2309561,.738,314,1037.18,.225,.22,823.2871
0,.352,.38,-230.0361,-.005,-.2507587,.738,315,807.1442,.22,.225,1037.18
1,.646,.604,230.0361,.005,.2507587,.738,315,1037.18,.225,.22,807.1442
0,.358,.418,-226.0004,0,-.2457712,.84,316,811.1799,.225,.225,1037.18
